Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P6440	P6450	P6460	P6460s1	P6400	P6422	P6424s2	P6424s3	P6424s1	P6426	P6430s1	P6480	P6480s1	P6500	P6510	P6510s1	P6510s2	P6590	P6590s1	P6600	P6600s1	P6610	P6610s1	P6620	P6620s1	P6585s2a1	P6585s3a1	P6585s4a1	P6585s3a2	P6585s2a2	P6585s1a2	P6585s2	P6585s3	P6585s1a1	P6585s4	P6585s1	P6580	P6580s1	P6580s2	P6630s3	P6630s4a1	P6630s3a1	P6630s2a1	P6630s1a1	P6630s4	P6630s2	P6630s1	P6640	P6765	P6765s1	P6772	P6750	P6760	P550	P6780	P6780s1	P6790	P6410	P6640s1	P9440	P6630s6	P6630s6a1	P6410s1	P6545s1	P6545	P6545s2	P6585s4a2	P6773s1	P6775	P6772s1	P388	P6800	P6810	P6810s1	P6850	P6830	P6830s1	P6870	P6880	P6880s1	P6920	P6930	P6940	P6960	P6980	P6980s1	P6980s2	P6980s3	P6980s4	P6980s5	P6980s6	P6980s7	P6980s8	P6980s7a1	P6990	P7020	P7026	P7028	P7028s1	P7040	P7045	P7050	P7050s1	P7070	P760	P9450	P6915s1	P6915	P7075	P7077	P390	P7090	P7100	P7110	P7120	P7130	P7140	P7140s1	P7140s2	P7140s3	P7140s4	P7140s5	P7140s6	P7140s7	P7140s8	P7140s9	P7140s9a1	P7150	P7160	P7170s1	P7170s5	P7170s6	P7180	P7240	P7240s1	P514	P515	Oficio	Rama2d	Oci	P6430	Rama4d	Rama4dp8	Rama2dp8	Inglabo	Mes	Dpto	Fex_c_2011
3905911	1	1	1	60	17	1	2	2	4	1	2	2	1	1	48		2		2000000	2			2		2		2		2			50000		2			2	1		2	2	2			2				2000000	2	2	1	2		.						.	12			2	2				2						17	48		.	48			9	7		1	2	1	9	1	1									1	1	60	1		2					4	1		1				2				1	1	2	1	2	2	2	2	2	2	2		1	1	2	2	1	2	5		2	1	02	28	1	1	2899			2000000	01	17	261.552983251134
3905912	1	2	1	60	17	1	1			1	1	2	2	2	1		1		700000	2			2		2		2		2		74000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						17	50		.	50			4	9		1	1	2	7	1		1								1	1	36	1		2					0	2		1				2				1	1	1	1	1	1	2	2	2	2	2		2	1	1	2	1	2	2		2	1	93	45	1	1	4521			700000	01	17	480.575429754028
3905912	2	1	2	60	17	2									96																																							6			400000	1		3		12												2		17	54		.	18	3		1	9		1	1	2	3	1	1									2	1	2	1		2					0	2		1				2				2														1	2	1	2	3		1	2	93	45	1	4	4552			400000	01	17	480.575429754028
3905912	3	1	3	60	17	2									12																																							6			800000	1		3		12												2		17	54		.	36	6		1	9		2				1								1		2	1	8	1		2					0	2		7				2				2														1	2	1	2	3		2	1	93	45	1	4	4552			800000	01	17	480.575429754028
3905912	3	2	3	60	17	1	1			1	2	2	2	2	24		1		200000	2			1	50000	2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						17	18	2		18			3	7		2				1								1		2	2				2						2		2				1	30	2	1	1	1	1	1	2	2	2	2	2	2	2		2	1	2	2	2	2	3		2	1	53	55	1	1	5521			250000	01	17	480.575429754028
3905913	1	1	1	60	17	1	2	1		1	1	2	1	1	288		1		644350	2			2		2		2		2		74000				2		1	2		2	2	2			2	644350				1	2	2	2		.						.	12			2	2				2						17	48		.	0	1		9	7		1	2	1	24	1	1									1	2				2						1		1				2				2														1	1	1	2	1		1	1	97	15	1	1	1551			644350	01	17	379.024764628995
3905913	1	2	1	60	17	2									4																																							7		1	1000000	1		3		12												1	2	66	48		.	0	3		2	7		2				1			1							2	1	60	1		2					0	2		3				2				2														1	1	1	2	2		1	1	21	70	1	5	7010			1000000	01	17	379.024764628995
3905914	1	1	1	60	17	1	2	1		1	1	1	1	1	468		2		3600000	2			2		2		2		2								2	2		2	2	2			2			4500000		2	1	2	2		.						.	12			2	2				2						17	40		.	0	3		9	7		3														1	2				2						1		1				2				2														1	1	1	2	1		1	1	13	80	1	2	8043			3600000	01	17	280.005139821034
3905914	1	2	1	60	17	1	2	1		1	1	2	1	1	48		1		750000	2			2		2		2		2		74000				2		1	2		2	2	2			2	750000				1	2	2	2		.						.	12			2	2				2						17	40		.	40			3	7		1	1	1	8	1	1									1	1	72	1		2					15	1		1				2				1	1	2	1	2	2	2	2	2	2	2		2	1	1	2	1	2	1		1	1	32	65	1	1	6593			750000	01	17	280.005139821034
3905915	1	1	1	60	17	1	2	2	12	1	1	2	1	1	12		1		900000	2			2		2		2		2								2	2		2	2	2			2	900000				1	2	2	2		.						.	12			2	2				2						17	48		.	0	3		8	7		1	1	1	10	1	1									1	1	24	1		2					0	1		1				2				2														1	1	1	2	1		1	1	33	19	1	1	1926			900000	01	17	249.894733387364
