Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P6440	P6450	P6460	P6460s1	P6400	P6422	P6424s2	P6424s3	P6424s1	P6426	P6430s1	P6480	P6480s1	P6500	P6510	P6510s1	P6510s2	P6590	P6590s1	P6600	P6600s1	P6610	P6610s1	P6620	P6620s1	P6585s2a1	P6585s3a1	P6585s4a1	P6585s3a2	P6585s2a2	P6585s1a2	P6585s2	P6585s3	P6585s1a1	P6585s4	P6585s1	P6580	P6580s1	P6580s2	P6630s3	P6630s4a1	P6630s3a1	P6630s2a1	P6630s1a1	P6630s4	P6630s2	P6630s1	P6640	P6765	P6765s1	P6772	P6750	P6760	P550	P6780	P6780s1	P6790	P6410	P6640s1	P9440	P6630s6	P6630s6a1	P6410s1	P6545s1	P6545	P6545s2	P6585s4a2	P6773s1	P6775	P6772s1	P388	P6800	P6810	P6810s1	P6850	P6830	P6830s1	P6870	P6880	P6880s1	P6920	P6930	P6940	P6960	P6980	P6980s1	P6980s2	P6980s3	P6980s4	P6980s5	P6980s6	P6980s7	P6980s8	P6980s7a1	P6990	P7020	P7026	P7028	P7028s1	P7040	P7045	P7050	P7050s1	P7070	P760	P9450	P6915s1	P6915	P7075	P7077	P390	P7090	P7100	P7110	P7120	P7130	P7140	P7140s1	P7140s2	P7140s3	P7140s4	P7140s5	P7140s6	P7140s7	P7140s8	P7140s9	P7140s9a1	P7150	P7160	P7170s1	P7170s5	P7170s6	P7180	P7240	P7240s1	P514	P515	Oficio	Rama2d	Oci	P6430	Rama4d	Rama4dp8	Rama2dp8	Inglabo	Mes	Dpto	Fex_c_2011
3915131	1	2	1	60	52	1	1			1	1	2	2	2	432		1		200000	2			1		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						52	60		.	60			2	7		2				1								1		2	1	96	6		2					0	2		1				2				2														1	1	1	2	3		1	1	53	55	1	1	5521			200000	01	52	181.0882305578
3915131	1	3	1	60	52	2									180																																							6			1100000	1		3		12												3		52	50		.	50			1	4		2				1								1		2	1	96	4		2					0	2		3				2				2														1	1	1	2	5		1	1	98	60	1	4	6031			1100000	01	52	181.0882305578
3915131	1	4	1	60	52	1	2	1		1	1	2	1	1	120		1		1450000	2			2		2		2		2			98		2			2	1		2	2	2			1		98		1400000	2	2	1	2		.						.	12			2	2				2						52	40		.	40			5	7		1	1	1	10	1	1			1						1	2				2						1		1				2				2														1	1	1	2	1		1	1	08	72	1	1	7220			1450000	01	52	181.0882305578
3915132	1	1	1	60	52	2									360																																							6			500000	1		3		12												3		52	32	2		32			1	1		2				1								1		2	1	36	2		2					0	2		2				2				2														1	2	1	2	8		1	2	81	36	1	4	3611			500000	01	52	188.168818310676
3915134	1	1	1	60	52	1	2	2	12	1	1	2	2	2	60																																							1			800000	1		3		12												3		52	30	2		30			5	7		2				1								1		2	1	240	1		1	3	4		300000	0	2		3	1	1	52	2				1	1	2	1	2	2	2	2	1	1	1	UN TRABAJO CON PRESTACIONES	2	1	1	2	1	2	5		1	1	21	85	1	4	8512			1100000	01	52	193.724811594691
3915134	1	2	1	60	52	2									120																																							6			300000	1		1		12												3		52	20	2		20			1	1		1	1	2	2	1		1								2	1	120	1		2					0	2		1				2				2														1	2	1	2	5		2	1	75	17	1	4	1750			300000	01	52	193.724811594691
3915135	1	1	1	60	52	2									24																																							6			1000000	1		1		12												3		52	35	1		35			1	9		3														2	1	502	1		2					0	2		1				1	15	2	1	2														1	1	1	2	10	DE LA PENSION	2	1	02	45	1	4	4542			1000000	01	52	301.00355270439
3915135	1	2	1	60	52	2									552																																							6				1		1		12												3		52	28	1		28			1	1		2				1								1		2	1	60	6		2					0	2		3				1	20	1	1	2														1	2	1	2	3		2	1	75	17	1	4	1750				01	52	301.00355270439
3915135	1	3	1	60	52	1	1			1	1	2	2	2	0																																							2			150000	1		1		12												3		52	48		.	48			1	7		2				1								1		2	1	3	4		2					0	2		2				1	18	1	1	2														1	1	1	2	5		2	1	81	36	1	4	3611			150000	01	52	301.00355270439
3915135	1	4	1	60	52	1	1			1	2	2	2	2	8																																							2			850000	1		3		12												3		52	48		.	48			1	7		2				1								1		2	1	72	4		2					0	2	CARTA DEL SISBEN	12				2				2														1	2	2	2	3		2	1	85	52	1	4	5272			850000	01	52	301.00355270439
3915135	1	5	1	60	52	1	2	2	12	1	1	2	2	2	0		1			2			1		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						52	54		.	54			3	7		2				1			1							2	1	12	1		2					0	2		4				1	12	1	1	2														1	2	1	2	5		1	1	03	50	1	1	5020				01	52	301.00355270439
3915135	1	6	1	60	52	2									240																																							6			70000	1		1		12												3		52	21	1		21			1	1		2				1								1		2	2				2						2		2				1	24	1	1	1	1	1	1	2	2	2	2	2	2	2		1	1	2	2	2	2	3		2	1	75	17	1	4	1750			70000	01	52	301.00355270439
3915136	1	1	1	60	52	2									36																																								.						.	12														52	6	2		6			2	7		2				1								1		2	1	360	5		2					0	2		3				2				2														1	2	1	2	3		2	1	39	63	1	6	6331				01	52	144.455481194522
3915136	1	2	1	60	52	2									144																																							7		2		1		3		12												2		52	40		.	40			2	7		2				1								1		2	1	240	4		2					0	2		3				2				1	1	1	1	2	2	2	2	2	2	2		2	1	2	2	1	2	3		2	1	59	63	1	4	6331				01	52	144.455481194522
3915136	1	3	1	60	52	1	2	2	12	1	1	2	1	1	120		2		812000	2			2		2		2		2		74000	25000		2	1		1	1		2	2	2			1		400000		812000	2	2	1	2		.						.	12			2	2				2						52	60		.	60			6	7		1	1	1	10	1			1							1	1	24	4		2					0	1		1				2				2														1	1	1	2	1		1	2	39	52	1	1	5223			812000	01	52	144.455481194522
3915137	1	1	1	60	52	2									168																																							6			500000	1		1		12												3		52	24	1		12	6		1	2		2				1								1		2	1	6	1		2					0	2		2				1	24	1	1	1	1	1	1	2	2	2	2	2	2	2		1	1	1	2	1	2	3		1	1	55	74	1	4	7493			500000	01	52	185.762796547761
3915138	1	1	1	60	50	1	2	1		1	1	1	1	1	240		5		2000000	2			2		2		2		2								2	2		2	2	2			2			2000000	1000000	2	1	1	2		.						.	12			2	2			98	1	1					50	60		.	60			9	6		1	3	1	20	1	1									1	2				2						1		1				2				2														1	1	1	2	3		1	2	58	75	1	2	7524			2000000	01	50	201.741369734639
3915138	1	2	1	60	50	1	2	1		1	2	1	1	1	90		2		1900000	2			2		2		2		2			54400		2			2	1		2	2	2			2			900000	900000	2	1	1	2		.						.	12			2	2				2						50	48		.	48			7	7		1	2	1	9	1	1									1	1	12	1		2					0	1		1				2				2														1	1	1	2	3		1	1	07	85	1	1	8511			1900000	01	50	201.741369734639
3915138	1	5	1	60	50	1	1			1	1	2	2	2	60		1		350000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	56		.	56			1	1		2				1								1		2	1	360	4		2					0	2		3				2				2														1	2	1	2	3		1	1	54	95	1	3	9500			350000	01	50	201.741369734639
3915139	1	1	1	60	50	1	2	1		1	1	1	1	1	48		5		1200000	2			2		2		2		2								2	2		2	2	2			1		600000	1200000	600000	2	1	1	2		.						.	12			2	2			180000	1	1					50	48		.	48			9	6		1	3	1	4	1	1									1	1	120	4		2					0	1		1				2				2														1	1	1	2	3		1	1	58	75	1	2	7524			1200000	01	50	238.084165696348
3915139	1	2	1	60	50	1	2	1		1	1	1	1	1	22		2		1488000	2			2		2		2		2			27200		2			2	1		2	2	2			2			704000	704000	2	1	1	2		.						.	12			2	2				2						50	36	1		36			9	7		1	1	1	5	1	1									1	1	24	1		2					12	1		1				1	36	1	1	2														1	1	1	2	3		1	1	07	85	1	1	8511			1488000	01	50	238.084165696348
3915140	1	1	1	60	50	1	2	1		1	1	1	1	1	12		2		1100000	2			2		2		2		2		74500				1		1	2		2	2	2			2			550000	550000	2	1	1	2		.						.	12			2	2				2						50	45		.	45			4	7		1	1	1	6	1	1									1	1	60	1		2					0	1		1				2				2														1	1	1	2	3		1	1	59	85	1	1	8512			1100000	01	50	208.699122225551
3915141	1	1	1	60	50	1	2	2	11	2	1	1	1	1	48		2		645400	2			2		2		2		2			54400		2			2	1		2	2	2			2			326000	326000	2	1	1	2		.						.	11	4		2	2		ASOCIACION DE MADRES  COMUNITARIA		2						50	40		.	0	3		9	1		1	1	1	9	1	1									1	1	36	4		2					0	1		1				2				2														1	1	1	2	8		1	1	54	85	1	1	8532	7513	75	645400	01	50	209.399797863685
3915142	1	1	1	60	50	2									120																																							6			600000	1		3		12												3		50	72		.	72			1	4		2				1								1		2	1	72	1		2					0	2		2				2				2														1	2	1	2	3		2	1	98	60	1	4	6031			600000	01	50	164.625555393261
3915143	1	1	1	60	50	2									120																																							6				1		3		12												3		50	45		.	45			2	6		2				1								1		2	1	60	1		2					0	2		11				2				2														1	2	1	2	8		1	1	45	55	1	4	5529				01	50	257.125660258497
3915143	1	2	1	60	50	2									3																																							6			1500000	1		3		12												3		50	40		.	40			1	6		2				1								1		2	1	36	3		1	30	6			0	2		2	2	1	50	2				2														1	1	1	2	3		2	1	45	55	1	4	5529			1500000	01	50	257.125660258497
3915144	1	1	1	60	50	1	2	1		1	1	2	1	1	22		2		940000	2			2		2		2		2		74000	25000		2	2		1	1		2	2	2			2				1014000	2	2	1	2		.						.	12			2	2				2						50	40		.	40			5	7		1	1	1	26	1	1									1	1	24	1		2					0	1		1				2				2														1	1	1	2	3		1	1	33	01	1	1	0130			940000	01	50	183.244606512818
3915145	1	1	1	60	50	1	1			1	1	2	2	2	1		1		500000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	6			2	2				2						50	48		.	48			2	7		2				1								1		2	1	12	1		2					72	2		11				2				2														1	1	1	2	8		1	1	58	63	1	1	6331			500000	01	50	191.298469195869
3915145	1	3	1	60	50	1	2	2	12	1	1	2	1	1	12		1		840000	2			2		2		2		2		74000				1		1	2		2	2	2			2				700000	2	2	1	2		.						.	12			2	2				2						50	72		.	72			9	7		1	1	1	2	1	1									1	1	4	1		2					3	1		1				2				2														1	1	1	2	8		1	1	58	74	1	1	7492			840000	01	50	191.298469195869
3915146	1	1	1	60	50	2									420																																							6			600000	1		3		12												3		50	70		.	70			1	6		2				1								1		2	2				2						2		4				2				1	1	2	1	1	2	2	2	2	1	2		2	1	1	1	1	2	8		1	1	45	55	1	4	5529			600000	01	50	264.505650682256
3915146	1	2	1	60	50	2									24																																							6			60000	1		3		12												3		50	60		.	60			1	6		2				1								1		2	1	24	1		2					12	2		2				2				2														1	1	1	2	3		1	1	45	55	1	4	5529			60000	01	50	264.505650682256
3915147	1	1	1	60	50	1	1			1	2	2	2	2	2		1		1200000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	72		.	72			3	7		2				1								1		2	1	4	1		2					6	2		4				2				1	1	1	1	1	1	2	1	2	2	2		2	1	2	2	2	2	8		2	2	39	55	1	1	5511			1200000	01	50	180.503890934532
3915148	1	1	1	60	50	2									180																																							5			600000	1		3		12												3		50	12	2		12			1	5		2				1								1		2	2				2						2		3				1	24	2	1	2														1	1	1	2	3		2	1	45	52	1	4	5261			600000	01	50	172.622619898883
3915149	1	1	1	60	50	1	1			1	1	2	2	2	0		1		200000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	1			2	2				2						50	40		.	40			9	7		3														2	1	3	1		2					10	2		1				2				2														1	1	1	2	2		2	1	39	74	1	1	7412			200000	01	50	242.04327936451
3915149	1	2	1	60	50	1	2	1		1	1	1	1	1	84		5		1000000	2			2		2		2		2		75000				1		1	2		2	2	2			2				100000	2	2	1	2		.						.	12			2	2				2						50	40		.	40			9	7		1	1	1	7	1	1									1	2				2						1		1				1	8	2	1	1	1	1	1	2	2	2	1	2	2	2		2	1	2	2	1	2	1		1	1	44	66	1	1	6602			1000000	01	50	242.04327936451
3915150	1	1	1	60	50	1	1			1	1	1	1	1	5		1		685000	2			2		2		2		2		75000				2		1	2		2	2	2			2			78000		2	1	2	2		.						.	8			2	2				2						50	45		.	45			3	7		1	2	1	14	1	1									1	1	168	1		2					5	1		1				2				2														1	1	1	2	5		1	1	39	51	1	1	5141			685000	01	50	165.143277845002
3915152	1	1	1	60	50	1	2	1		2	1	1	1	1	11		1		930000	2			2		2		2		2								2	2		2	2	2			2			450000	450000	2	1	1	2		.						.	12	4		2	2		SEGURIDAD  PRIVADA		2						50	84		.	84			9	7		1	1	1	14	1	1									1	1	14	1		2					5	1		1				2				2														1	2	2	2	9		1	1	58	92	1	1	9249	7492	74	930000	01	50	227.911425903848
3915153	1	1	1	60	50	1	2	1		1	1	1	1	1	4		4		644350	2			2		2		2		2		74000	50000		2	2		1	1		2	2	2			2				100000	2	2	1	2		.						.	9			1	2				2						50	48		.	48			9	4		1	1	1	15	1								1		1	1	13	1		2					3	1		1				2				2														1	1	1	2	8		1	1	98	85	1	1	8519			644350	01	50	290.748255102743
3915155	1	1	1	60	50	2									3																																							6			400000	1		3		7												2		50	84		.	84			1	4		1	1	2	8	1								1		1	1	60	1		2					5	2		1				2				1	1	1	1	1	2	2	2	1	1	2		1	1	2	2	2	1	3		2	1	98	60	1	4	6021			400000	01	50	213.33032562175
3915155	1	2	1	60	50	2									12																																							7		2	400000	1		3		12												2		50	70		.	70			1	1		2				1								1		2	1	24	1		2					24	2		3				2				2														1	1	1	2	3		2	1	41	52	1	4	5211			400000	01	50	213.33032562175
3915156	1	1	1	60	50	2									24																																							6			240000	1		3		12												3		50	40		.	40			1	6		2				1								1		2	1	48	4		2					6	2		2				2				1	1	1	1	1	2	2	2	1	1	2		2	1	1	1	1	2	3		1	1	45	52	1	4	5262			240000	01	50	296.63140973134
3915156	1	2	1	60	50	2									12																																							6			500000	1		3		12												3		50	48		.	48			2	5		2				1								1		2	1	12	1		2					0	2		10				2				2														1	1	1	2	3		2	2	45	52	1	4	5262			500000	01	50	296.63140973134
3915156	1	3	1	60	50	2									12																																							6			500000	1		3		12												2		50	48		.	48			2	5		2				1								1		2	1	24	1		2					0	2		2				2				2														1	1	1	2	3		1	1	45	52	1	4	5262			500000	01	50	296.63140973134
3915157	1	2	1	60	50	2									10																																							6			900000	1		3		12												3		50	115		.	115			1	4		2				1								1		2	1	72	1		2					0	2		2				2				1	1	1	1	1	1	2	2	2	2	2		1	1	1	2	2	2	3		2	2	98	60	1	4	6031			900000	01	50	238.084165696348
3915158	1	1	1	60	50	1	2	1		1	1	1	1	1	12		1		644350	2			2		2		2		2			25000		2			2	1		2	2	2			2				500000	2	2	1	2		.						.	12			2	2				2						50	84		.	84			9	7		1	1	1	1	1								1		1	1	24	4		2					0	1		1				2				1	1	1	1	1	2	2	2	1	1	2		2	1	2	2	2	2	5		1	1	62	15	1	1	1511			644350	01	50	227.210750265713
3915159	1	1	1	60	50	1	2	1		1	1	1	1	1	2		4		644350	2			2		2		2		2		74000	50000		2	1		1	1		2	2	2			2				100000	2	2	1	2		.						.	12			1	2				2						50	48		.	48			6	7		1	1	1	6	1								1		1	1	4	1		2					0	1		1				2				2														1	2	1	2	5		2	1	87	45	1	1	4542			644350	01	50	223.503065414251
3915159	1	2	1	60	50	2									1																																							4			300000	1		3		10												3		50	63		.	63			3	7		2				1								1		2	1	9	1		2					0	2		3				2				1	1	1	1	1	1	2	1	2	2	2		2	1	2	2	2	2	3		2	2	57	93	1	4	9302			300000	01	50	223.503065414251
3915160	1	2	1	60	50	2									36																																							6			40000	1		3		12												3		50	30	2		18	6		1	1		2				1								1		2	1	240	4		2					24	2		2				2				2														1	2	1	2	3		1	1	79	52	1	4	5271			40000	01	50	165.143277845002
3915161	1	1	1	60	50	1	1			1	2	2	2	2	0		1		60000	2			1	30000	2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	7			2	2				2						50	16	1		16			1	4		2				1								1		2	1	0	1		2					1	2		2				2				2														1	1	1	2	2		2	1	98	95	1	3	9500			90000	01	50	271.706760540594
3915162	1	1	1	60	50	2									60																																							5			250000	1		3		12												2		50	20	2		15	6		1	5		2				1								1		2	1	180	1		1	10	4		200000	0	2		5	1	2	50	2				2														1	1	1	2	3		2	1	45	52	1	4	5261			450000	01	50	227.210750265713
3915162	1	2	1	60	50	1	2	2	8	2	2	2	1	2	32		2		1300000	2			2		2		2		2		424000				2		1	2		2	2	2			2	1200000			1300000	1	2	1	2		.						.	12	1		1	2				2						50	48		.	48			9	7		1	1	1	10	1								1		1	1	84	1		2					0	2		1				2				2														1	1	1	2	3		1	1	21	52	1	1	5237	7491	74	1300000	01	50	227.210750265713
3915163	1	1	1	60	50	2									240																																							7		2	1000000	1		3		12												2		50	60		.	40	6		1	7		2				1								1		2	1	180	1		2					0	2		2				2				2														1	1	1	2	2		2	1	83	28	1	4	2811			1000000	01	50	212.359489237346
3915165	1	1	1	60	50	1	2	1		1	1	2	1	2	3		2		850000	2			2		2		2		2		85000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	45		.	45			9	4		1	1	1	6	1				1						1	1	24	1		2					0	2		1				2				2														1	1	1	2	2		1	1	98	60	1	1	6021			850000	01	50	308.471794435151
3915165	1	2	1	60	50	1	2	1		1	1	2	1	2	72		1		650000	2			2		2		2		2								2	2		2	2	2			2				650000	2	2	1	2		.						.	12			2	2				2						50	90		.	90			9	4		1	1	3	6	1								1		2	1	6	1		2					0	2		1				2				2														1	1	2	2	2		1	1	98	60	1	1	6021			650000	01	50	308.471794435151
3915165	1	3	1	60	50	1	2	1		1	1	2	1	2	144		1		650000	2			2		2		2		2		74000				2		1	2		2	2	2			2				650000	2	2	1	2		.						.	12			2	2				2						50	90		.	90			9	4		1	1	3	22	1	1									1	1	72	1		2					0	2		1				2				2														1	1	2	2	2		1	1	98	60	1	1	6021			650000	01	50	308.471794435151
3915166	1	1	1	60	50	1	1			1	1	2	2	2	84		1		1000000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	54		.	54			2	7		2				1								1		2	1	60	4		2					24	2		3				2				2														1	1	1	2	5		1	1	45	52	1	1	5241			1000000	01	50	168.663506230721
3915167	1	1	1	60	50	1	1			1	1	2	2	2	96		1		800000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	50		.	50			2	9		2				1								1		2	1	12	1		2					0	2		2				2				2														1	2	1	2	3		1	1	95	45	1	1	4521			800000	01	50	249.367880499329
3915167	1	4	1	60	50	1	1			1	2	2	2	2	24		1		200000	2			1	30000	2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	8	2		8			3	7		2				1								1		2	1	30	3		2					0	2		2				2				2														1	2	1	2	3		1	1	53	55	1	1	5521			230000	01	50	249.367880499329
3915167	2	1	2	60	50	1	1			1	1	2	2	2	360		1		650000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	50		.	50			2	9		2				1								1		2	1	240	8		2					0	2		2				2				2														1	1	1	2	3		1	1	95	45	1	1	4521			650000	01	50	249.367880499329
3915167	2	2	2	60	50	1	1			1	1	2	2	2	12		1		750000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	50		.	50			3	9		2				1								1		2	1	18	4		2					0	2		2				2				2														1	1	1	2	2		1	1	95	45	1	1	4521			750000	01	50	249.367880499329
3915169	1	1	1	60	50	1	2	2	12	1	1	2	1	2	36		1		900000	1	90000	2	1	90000	2		2		2		74000				2		1	2		2	2	2			2				900000	2	2	1	2		.						.	12			2	2				2						50	60		.	60			4	4		1	1	1	3	1								1		1	1	84	4		1	12	4		320000	0	2		1	1	4	50	2				2														2	1	1	2	3		1	1	97	71	1	1	7122			1310000	01	50	271.706760540594
3915169	1	2	1	60	50	1	2	2	12	1	2	2	1	2	3		1		650000	2			2		2		2		2		74000	25200		2	2		1	1		2	2	2			2					2	2	2	2		.						.	8			2	2				2						50	52		.	52			8	7		1	1	1	2	1								1		1	1	5	1		2					4	1		1				2				1	1	1	1	1	1	1	2	1	1	1	MAL TRACTO DEL JEFE	2	1	1	2	2	2	3		2	1	97	52	1	1	5211			650000	01	50	271.706760540594
3915171	1	2	1	60	50	1	2	1		1	1	2	1	1	24		2		638770	2			2		2		2		2		77000				2		1	2		2	2	2			1		635770		350000	2	2	1	2		.						.	12			2	2				2						50	48		.	48			8	7		1	1	1	3	1	1									1	1	120	8		2					0	2		1				2				2														1	1	1	2	2		1	1	55	15	1	1	1551			638770	01	50	227.210750265713
3915172	1	1	1	60	50	2									148																																							7		2	800000	1		3		12												2		50	56		.	56			2	6		2				1			1							2	1	120	1		2					0	2		2				2				2														1	1	1	2	2		1	1	53	55	1	5	5529			800000	01	50	254.066617254714
3915172	1	2	1	60	50	2									140																																								.						.	12														50	48		.	48			2	7		2				1			1							2	1	60	1		2					0	2		2				2				2														1	2	1	2	2		1	1	53	55	1	6	5529				01	50	254.066617254714
3915173	1	1	1	60	50	1	2	1		1	1	2	1	1	1		2		635774	2			2		2		2		2		77000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	48		.	48			5	7		1	1	1	1	1	1									1	1	24	4		2					0	2		1				2				1	1	1	1	2	1	1	2	2	2	2		2	1	1	1	1	2	2		1	2	45	52	1	1	5241			635774	01	50	208.699122225551
3915174	1	2	1	60	50	1	2	1		1	2	2	1	2	1		1		800000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	48		.	48			5	9		1	1	1	0	1	1									1	1	36	2		2					0	2		1				2				2														1	2	1	2	2		1	1	95	45	1	1	4521			800000	01	50	209.399797863685
3915175	1	3	1	60	50	1	2	2	2	1	1	2	1	1	0		1		700000	2			2		2		2		2		77000				2		1	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						50	48		.	48			7	7		1	1	1	2	1	1									1	1	36	1		2					0	2		1				2				2														1	1	1	2	2		1	1	03	71	1	1	7122			700000	01	50	238.772902773981
3915175	1	4	1	60	50	1	2	1		1	1	2	1	1	2		2		850000	2			2		2		2		2		77000				2		1	2		2	2	2			1		635000		600000	2	2	1	2		.						.	12			2	2				2						50	40		.	40			9	7		1	1	1	4	1	1									1	1	18	1		2					0	2		1				2				2														1	1	1	2	2		1	1	30	45	1	1	4530			850000	01	50	238.772902773981
3915176	1	1	1	60	50	2									240																																							7		2	170000	1		3		12												3		50	28	2		28			1	8		2				1								1		2	1	144	1		2					0	2		1				2				2														1	1	1	2	10	PENSION	1	1	61	01	1	4	0123			170000	01	50	198.77781124975
3915177	1	1	1	60	50	1	2	1		1	1	1	1	1	108		5		1490000	2			2		2		2		2							2	2	2	82000	2	1	2			2			1500000	700000	2	1	1	2		.						.	12			2	2				2						50	40		.	40			9	7		1	3	1	15	1			1							1	1	36	1		2					0	1		1				2				2														1	1	1	2	3		1	1	13	80	1	2	8043			1490000	01	50	228.162854720547
3915178	1	1	1	60	50	1	2	1		1	1	2	2	2	7																																							1			1500000	1		3		12												3		50	60		.	60			9	9		1	1	2	2	1								1		1	1	11	1		2					0	2		1				2				2														1	1	1	2	3		1	1	30	45	1	4	4530			1500000	01	50	208.699122225551
3915179	1	1	1	60	50	2									1																																							4			400000	1		3		12												3		50	48		.	48			2	7		2				1								1		2	1	96	1		2					0	2		2				2				2														1	1	1	2	3		1	1	84	50	1	4	5040			400000	01	50	227.911425903848
3915180	1	1	1	60	50	2									240																																							6			0	1		3		12												3		50	40		.	40			1	6		3														2	1	300	2		2					0	2		10				2				2														1	1	1	2	5		1	1	44	70	1	4	7020			0	01	50	234.563937310629
3915180	1	3	1	60	50	2									4																																							7		2	1000000	1		3		12												2		50	54		.	54			1	7		2				1								1		2	1	24	4		2					0	2		1				2				2														1	1	1	2	3		1	1	02	52	1	4	5272			1000000	01	50	234.563937310629
3915181	1	2	1	60	50	1	2	1		1	1	1	1	1	36		7	RE INCORPORACION	1750000	2			2		2		2		2								2	2		2	2	2			1		850000	1750000	1750000	2	1	1	2		.						.	12			2	2				2						50	40		.	0	3		9	7		1	2	1	22	1	1									1	1	132	2		2					0	1		1				2				2														1	1	1	2	1		1	1	32	75	1	2	7521			1750000	01	50	190.080071105994
3915181	1	3	1	60	50	1	2	2	12	1	1	2	1	1	36		2		1220000	2			2		2		2		2								2	2		2	2	2			2				1200000	2	2	1	2		.						.	12			2	2				2						50	48		.	48			5	7		1	1	1	10	1								1		1	1	60	1		2					2	2		1				2				2														1	2	1	2	1		1	1	05	85	1	1	8512			1220000	01	50	190.080071105994
3915183	1	1	1	60	50	1	2	2	12	1	1	2	1	1	60		1		820000	2			2		2		2		2		74000	27000		2	1		1	1		2	2	2			2	200000			650000	1	2	1	2		.						.	12			2	2				2						50	40		.	40			9	4		1	1	1	12	1								1		1	1	36	1		2					0	1		1				2				2														1	1	1	2	1		1	1	37	85	1	1	8512			820000	01	50	271.706760540594
3915183	1	2	1	60	50	1	2	1		1	1	2	1	1	96		2		780000	2			2		2		2		2			27000		2			2	1		2	2	1	200000	2	2				780000	2	2	1	2		.						.	12			2	2				2						50	48		.	48			8	7		1	1	1	10	1								1		1	1	18	1		2					1	1		1				2				2														1	1	1	2	3		1	1	21	85	1	1	8519			780000	01	50	271.706760540594
3915184	1	1	1	60	66	2									96																																							7		1	1200000	1		3		12											2015	2	1	66	84		.	84			2	7		2				1				1						2	1	240	4		2					0	2		2				2				2														1	1	2	2	3		1	1	41	52	1	4	5211			1200000	01	66	186.008482182075
3915184	1	2	1	60	66	2									144																																								.						.	12														66	56		.	56			2	7		2				1								1		2	1	120	1		2					0	2		1				2				2														1	2	1	2	3		1	1	45	52	1	6	5211				01	66	186.008482182075
3915184	1	3	1	60	66	1	2	1		2	1	1	1	1	108		3		644350	1	100000	2	2		2		2		2		74000	24900		2	1		1	1		2	2	2			2			100000	330000	2	1	1	1									12	4	12	2	2		EMPRESA RECAUDOS INTEGRADOS SAS		2						66	54		.	54			9	7		1	1	1	9	1								1		1	1	3	1		2					6	1		1				2				1	1	2	1	2	2	2	2	2	2	2		2	1	1	2	1	2	8		1	1	33	60	1	1	6021	7499	74	644350	01	66	186.008482182075
3915185	1	1	1	60	66	1	1			1	1	2	2	2	2		1		600000	2			1	192000	2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	10			2	2				2						66	42		.	42			4	7		2				1			1							2	1	24	2		1	4	4		100000	2	2		4	1	2	66	2				1	1	1	1	2	1	2	2	2	2	2		1	1	2	2	1	2	5		2	1	53	55	1	1	5521			892000	01	66	281.549902908094
3915185	1	2	1	60	66	1	1			1	1	2	2	2	2		1		600000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	10			2	2				2						66	42		.	42			4	7		2				1			1							2	1	36	4		1	3	4		20000	2	2		5	1	5	66	2				1	1	1	1	2	2	2	2	2	2	2		1	1	2	2	1	2	3		2	1	53	55	1	1	5521			620000	01	66	281.549902908094
3915186	1	1	1	60	66	1	2	1		1	1	1	1	1	288		1		644350	2			2		2		2		2		74000	24900		2	1		1	1		2	2	2			2			3300000	330000	2	1	1	2		.						.	12			2	2				2						66	48		.	48			9	7		1	1	1	24	1	1									1	1	3	1		2					0	1		1				2				2														1	1	1	2	5		1	1	53	55	1	1	5521			644350	01	66	282.509713896764
3915187	1	2	1	60	66	2									180																																							6			800000	1		3		12												3		66	48		.	48			1	2		2				1								1		2	1	2	1		2					0	2		3				2				2														1	1	1	2	3		1	1	95	45	1	4	4521			800000	01	66	241.348226085779
3915188	1	1	1	60	66	1	2	1		1	1	1	1	1	120		5		1500000	2			2		2		2		2								2	2		2	2	2			1		750000	1500000	750000	2	1	1	2		.						.	12			2	2				2						66	36	3	ES LA JORNADA ASIGNADA	36			9	7		1	3	1	10	1	1									1	1	6	1		2					0	1		1				2				2														1	1	1	2	3		1	1	13	80	1	2	8043			1500000	01	66	410.514172905434
