Period,Release,Studio,Count,Box Office
"19","Nov 2001","Columbia Pictures","17","776.3"
"19","Nov 2001","Buena Vista","3","240.6"
"19","Nov 2001","Lionsgate Films","0","0"
"20","Dec 2001","Warner Bros. Pictures","22","1306.9"
"20","Dec 2001","20th Century Fox","24","1009.5"
"20","Dec 2001","Universal Pictures","19","1630.9"
"20","Dec 2001","Walt Disney Pictures","3","305.7"
"20","Dec 2001","Paramount Pictures","17","1056.6"
"20","Dec 2001","Sony Pictures","0","0"
"20","Dec 2001","New Line Cinema","17","838.0"
"20","Dec 2001","Columbia Pictures","19","872.4"
"20","Dec 2001","Buena Vista","3","240.6"
"20","Dec 2001","Lionsgate Films","0","0"
"21","Jan 2002","Warner Bros. Pictures","23","1348.0"
"21","Jan 2002","20th Century Fox","25","1025.4"
"21","Jan 2002","Universal Pictures","20","1801.6"
"21","Jan 2002","Walt Disney Pictures","3","305.7"
"21","Jan 2002","Paramount Pictures","18","1097.6"
"21","Jan 2002","Sony Pictures","1","108.6"
"21","Jan 2002","New Line Cinema","18","878.3"
"21","Jan 2002","Columbia Pictures","19","872.4"
"21","Jan 2002","Buena Vista","3","240.6"
"21","Jan 2002","Lionsgate Films","0","0"
"22","Feb 2002","Warner Bros. Pictures","25","1418.3"
"22","Feb 2002","20th Century Fox","25","1025.4"
"22","Feb 2002","Universal Pictures","22","1879.5"
"22","Feb 2002","Walt Disney Pictures","4","354.0"
"22","Feb 2002","Paramount Pictures","19","1134.7"
"22","Feb 2002","Sony Pictures","1","108.6"
"22","Feb 2002","New Line Cinema","19","949.3"
"22","Feb 2002","Columbia Pictures","19","872.4"
"22","Feb 2002","Buena Vista","3","240.6"
"22","Feb 2002","Lionsgate Films","0","0"
"23","Mar 2002","Warner Bros. Pictures","27","1464.5"
"23","Mar 2002","20th Century Fox","26","1201.6"
"23","Mar 2002","Universal Pictures","22","1879.5"
"23","Mar 2002","Walt Disney Pictures","4","354.0"
"23","Mar 2002","Paramount Pictures","21","1249.7"
"23","Mar 2002","Sony Pictures","2","203.9"
"23","Mar 2002","New Line Cinema","21","1056.4"
"23","Mar 2002","Columbia Pictures","19","872.4"
"23","Mar 2002","Buena Vista","3","240.6"
"23","Mar 2002","Lionsgate Films","0","0"
"24","Apr 2002","Warner Bros. Pictures","27","1464.5"
"24","Apr 2002","20th Century Fox","27","1216.0"
"24","Apr 2002","Universal Pictures","23","1969.8"
"24","Apr 2002","Walt Disney Pictures","4","354.0"
"24","Apr 2002","Paramount Pictures","22","1316.4"
"24","Apr 2002","Sony Pictures","2","203.9"
"24","Apr 2002","New Line Cinema","22","1069.0"
"24","Apr 2002","Columbia Pictures","20","896.8"
"24","Apr 2002","Buena Vista","3","240.6"
"24","Apr 2002","Lionsgate Films","0","0"
"25","May 2002","Warner Bros. Pictures","28","1531.7"
"25","May 2002","20th Century Fox","29","1579.0"
"25","May 2002","Universal Pictures","25","2048.6"
"25","May 2002","Walt Disney Pictures","4","354.0"
"25","May 2002","Paramount Pictures","23","1434.9"
"25","May 2002","Sony Pictures","3","243.1"
"25","May 2002","New Line Cinema","22","1069.0"
"25","May 2002","Columbia Pictures","21","925.8"
"25","May 2002","Buena Vista","3","240.6"
"25","May 2002","Lionsgate Films","0","0"
"26","Jun 2002","Warner Bros. Pictures","30","1754.4"
"26","Jun 2002","20th Century Fox","29","1579.0"
"26","Jun 2002","Universal Pictures","26","2170.1"
"26","Jun 2002","Walt Disney Pictures","4","354.0"
"26","Jun 2002","Paramount Pictures","24","1448.5"
"26","Jun 2002","Sony Pictures","3","243.1"
"26","Jun 2002","New Line Cinema","22","1069.0"
"26","Jun 2002","Columbia Pictures","22","1052.0"
"26","Jun 2002","Buena Vista","3","240.6"
"26","Jun 2002","Lionsgate Films","0","0"
"27","Jul 2002","Warner Bros. Pictures","31","1765.7"
"27","Jul 2002","20th Century Fox","30","1630.4"
"27","Jul 2002","Universal Pictures","26","2170.1"
"27","Jul 2002","Walt Disney Pictures","4","354.0"
"27","Jul 2002","Paramount Pictures","25","1483.6"
"27","Jul 2002","Sony Pictures","3","243.1"
"27","Jul 2002","New Line Cinema","23","1282.1"
"27","Jul 2002","Columbia Pictures","24","1307.1"
"27","Jul 2002","Buena Vista","3","240.6"
"27","Jul 2002","Lionsgate Films","0","0"
"28","Aug 2002","Warner Bros. Pictures","33","1804.9"
"28","Aug 2002","20th Century Fox","30","1630.4"
"28","Aug 2002","Universal Pictures","26","2170.1"
"28","Aug 2002","Walt Disney Pictures","4","354.0"
"28","Aug 2002","Paramount Pictures","27","1519.6"
"28","Aug 2002","Sony Pictures","3","243.1"
"28","Aug 2002","New Line Cinema","24","1291.6"
"28","Aug 2002","Columbia Pictures","26","1488.5"
"28","Aug 2002","Buena Vista","3","240.6"
"28","Aug 2002","Lionsgate Films","0","0"
"29","Sep 2002","Warner Bros. Pictures","35","1841.5"
"29","Sep 2002","20th Century Fox","31","1658.7"
"29","Sep 2002","Universal Pictures","26","2170.1"
"29","Sep 2002","Walt Disney Pictures","4","354.0"
"29","Sep 2002","Paramount Pictures","28","1537.8"
"29","Sep 2002","Sony Pictures","3","243.1"
"29","Sep 2002","New Line Cinema","24","1291.6"
"29","Sep 2002","Columbia Pictures","29","1510.1"
"29","Sep 2002","Buena Vista","3","240.6"
"29","Sep 2002","Lionsgate Films","0","0"
"30","Oct 2002","Warner Bros. Pictures","37","1887.9"
"30","Oct 2002","20th Century Fox","31","1658.7"
"30","Oct 2002","Universal Pictures","28","2268.3"
"30","Oct 2002","Walt Disney Pictures","4","354.0"
"30","Oct 2002","Paramount Pictures","30","1612.7"
"30","Oct 2002","Sony Pictures","3","243.1"
"30","Oct 2002","New Line Cinema","25","1303.1"
"30","Oct 2002","Columbia Pictures","29","1510.1"
"30","Oct 2002","Buena Vista","3","240.6"
"30","Oct 2002","Lionsgate Films","0","0"
"31","Nov 2002","Warner Bros. Pictures","38","2149.7"
"31","Nov 2002","20th Century Fox","32","1673.5"
"31","Nov 2002","Universal Pictures","30","2398.9"
"31","Nov 2002","Walt Disney Pictures","4","354.0"
"31","Nov 2002","Paramount Pictures","30","1612.7"
"31","Nov 2002","Sony Pictures","3","243.1"
"31","Nov 2002","New Line Cinema","26","1336.1"
"31","Nov 2002","Columbia Pictures","30","1527.9"
"31","Nov 2002","Buena Vista","3","240.6"
"31","Nov 2002","Lionsgate Films","0","0"
"32","Dec 2002","Warner Bros. Pictures","38","2149.7"
"32","Dec 2002","20th Century Fox","33","1729.7"
"32","Dec 2002","Universal Pictures","31","2416.4"
"32","Dec 2002","Walt Disney Pictures","4","354.0"
"32","Dec 2002","Paramount Pictures","32","1695.6"
"32","Dec 2002","Sony Pictures","3","243.1"
"32","Dec 2002","New Line Cinema","27","1676.6"
"32","Dec 2002","Columbia Pictures","31","1621.7"
"32","Dec 2002","Buena Vista","3","240.6"
"32","Dec 2002","Lionsgate Films","0","0"
"33","Jan 2003","Warner Bros. Pictures","38","2149.7"
"33","Jan 2003","20th Century Fox","33","1729.7"
"33","Jan 2003","Universal Pictures","31","2416.4"
"33","Jan 2003","Walt Disney Pictures","4","354.0"
"33","Jan 2003","Paramount Pictures","33","1705.8"
"33","Jan 2003","Sony Pictures","4","278.9"
"33","Jan 2003","New Line Cinema","29","1788.1"
"33","Jan 2003","Columbia Pictures","31","1621.7"
"33","Jan 2003","Buena Vista","3","240.6"
"33","Jan 2003","Lionsgate Films","0","0"
"34","Feb 2003","Warner Bros. Pictures","39","2162.6"
"34","Feb 2003","20th Century Fox","34","1832.2"
"34","Feb 2003","Universal Pictures","33","2438.9"
"34","Feb 2003","Walt Disney Pictures","4","354.0"
"34","Feb 2003","Paramount Pictures","34","1811.6"
"34","Feb 2003","Sony Pictures","4","278.9"
"34","Feb 2003","New Line Cinema","29","1788.1"
"34","Feb 2003","Columbia Pictures","32","1643.9"
"34","Feb 2003","Buena Vista","4","288.4"
"34","Feb 2003","Lionsgate Films","0","0"
"35","Mar 2003","Warner Bros. Pictures","40","2196.2"
"35","Mar 2003","20th Century Fox","34","1832.2"
"35","Mar 2003","Universal Pictures","33","2438.9"
"35","Mar 2003","Walt Disney Pictures","5","377.1"
"35","Mar 2003","Paramount Pictures","36","1876.8"
"35","Mar 2003","Sony Pictures","4","278.9"
"35","Mar 2003","New Line Cinema","30","1794.9"
"35","Mar 2003","Columbia Pictures","33","1687.3"
"35","Mar 2003","Buena Vista","4","288.4"
"35","Mar 2003","Lionsgate Films","0","0"
"36","Apr 2003","Warner Bros. Pictures","41","2232.2"
"36","Apr 2003","20th Century Fox","36","1884.8"
"36","Apr 2003","Universal Pictures","33","2438.9"
"36","Apr 2003","Walt Disney Pictures","5","377.1"
"36","Apr 2003","Paramount Pictures","36","1876.8"
"36","Apr 2003","Sony Pictures","4","278.9"
"36","Apr 2003","New Line Cinema","32","1824.8"
"36","Apr 2003","Columbia Pictures","34","1738.8"
"36","Apr 2003","Buena Vista","4","288.4"
"36","Apr 2003","Lionsgate Films","0","0"
"37","May 2003","Warner Bros. Pictures","43","2534.1"
"37","May 2003","20th Century Fox","37","2099.6"
"37","May 2003","Universal Pictures","34","2681.5"
"37","May 2003","Walt Disney Pictures","7","460.9"
"37","May 2003","Paramount Pictures","37","1982.8"
"37","May 2003","Sony Pictures","5","383.0"
"37","May 2003","New Line Cinema","32","1824.8"
"37","May 2003","Columbia Pictures","34","1738.8"
"37","May 2003","Buena Vista","4","288.4"
"37","May 2003","Lionsgate Films","0","0"
"38","Jun 2003","Warner Bros. Pictures","43","2534.1"
"38","Jun 2003","20th Century Fox","38","2104.2"
"38","Jun 2003","Universal Pictures","35","2813.6"
"38","Jun 2003","Walt Disney Pictures","7","460.9"
"38","Jun 2003","Paramount Pictures","38","2022.2"
"38","Jun 2003","Sony Pictures","5","383.0"
"38","Jun 2003","New Line Cinema","33","1850.9"
"38","Jun 2003","Columbia Pictures","36","1869.5"
"38","Jun 2003","Buena Vista","4","288.4"
"38","Jun 2003","Lionsgate Films","0","0"
"39","Jul 2003","Warner Bros. Pictures","44","2684.4"
"39","Jul 2003","20th Century Fox","39","2170.5"
"39","Jul 2003","Universal Pictures","37","2961.7"
"39","Jul 2003","Walt Disney Pictures","7","460.9"
"39","Jul 2003","Paramount Pictures","39","2087.9"
"39","Jul 2003","Sony Pictures","5","383.0"
"39","Jul 2003","New Line Cinema","34","1865.0"
"39","Jul 2003","Columbia Pictures","36","1869.5"
"39","Jul 2003","Buena Vista","4","288.4"
"39","Jul 2003","Lionsgate Films","0","0"
"40","Aug 2003","Warner Bros. Pictures","45","2689.5"
"40","Aug 2003","20th Century Fox","39","2170.5"
"40","Aug 2003","Universal Pictures","38","3066.1"
"40","Aug 2003","Walt Disney Pictures","7","460.9"
"40","Aug 2003","Paramount Pictures","40","2089.4"
"40","Aug 2003","Sony Pictures","5","383.0"
"40","Aug 2003","New Line Cinema","35","1947.2"
"40","Aug 2003","Columbia Pictures","38","2008.1"
"40","Aug 2003","Buena Vista","4","288.4"
"40","Aug 2003","Lionsgate Films","0","0"
"41","Sep 2003","Warner Bros. Pictures","46","2726.4"
"41","Sep 2003","20th Century Fox","40","2178.0"
"41","Sep 2003","Universal Pictures","39","3113.7"
"41","Sep 2003","Walt Disney Pictures","7","460.9"
"41","Sep 2003","Paramount Pictures","42","2142.3"
"41","Sep 2003","Sony Pictures","5","383.0"
"41","Sep 2003","New Line Cinema","36","1988.6"
"41","Sep 2003","Columbia Pictures","38","2008.1"
"41","Sep 2003","Buena Vista","4","288.4"
"41","Sep 2003","Lionsgate Films","0","0"
"42","Oct 2003","Warner Bros. Pictures","46","2726.4"
"42","Oct 2003","20th Century Fox","40","2178.0"
"42","Oct 2003","Universal Pictures","40","3148.8"
"42","Oct 2003","Walt Disney Pictures","7","460.9"
"42","Oct 2003","Paramount Pictures","44","2227.9"
"42","Oct 2003","Sony Pictures","6","387.7"
"42","Oct 2003","New Line Cinema","37","2068.7"
"42","Oct 2003","Columbia Pictures","38","2008.1"
"42","Oct 2003","Buena Vista","4","288.4"
"42","Oct 2003","Lionsgate Films","0","0"
"43","Nov 2003","Warner Bros. Pictures","49","2945.9"
"43","Nov 2003","20th Century Fox","41","2271.9"
"43","Nov 2003","Universal Pictures","42","3308.6"
"43","Nov 2003","Walt Disney Pictures","7","460.9"
"43","Nov 2003","Paramount Pictures","46","2254.9"
"43","Nov 2003","Sony Pictures","6","387.7"
"43","Nov 2003","New Line Cinema","38","2242.1"
"43","Nov 2003","Columbia Pictures","38","2008.1"
"43","Nov 2003","Buena Vista","4","288.4"
"43","Nov 2003","Lionsgate Films","0","0"
"44","Dec 2003","Warner Bros. Pictures","50","3057.0"
"44","Dec 2003","20th Century Fox","42","2410.4"
"44","Dec 2003","Universal Pictures","44","3387.2"
"44","Dec 2003","Walt Disney Pictures","7","460.9"
"44","Dec 2003","Paramount Pictures","47","2308.6"
"44","Dec 2003","Sony Pictures","7","512.3"
"44","Dec 2003","New Line Cinema","39","2619.1"
"44","Dec 2003","Columbia Pictures","38","2008.1"
"44","Dec 2003","Buena Vista","4","288.4"
"44","Dec 2003","Lionsgate Films","0","0"
"45","Jan 2004","Warner Bros. Pictures","52","3084.4"
"45","Jan 2004","20th Century Fox","42","2410.4"
"45","Jan 2004","Universal Pictures","46","3491.3"
"45","Jan 2004","Walt Disney Pictures","7","460.9"
"45","Jan 2004","Paramount Pictures","48","2318.9"
"45","Jan 2004","Sony Pictures","8","578.6"
"45","Jan 2004","New Line Cinema","40","2676.8"
"45","Jan 2004","Columbia Pictures","38","2008.1"
"45","Jan 2004","Buena Vista","4","288.4"
"45","Jan 2004","Lionsgate Films","0","0"
"46","Feb 2004","Warner Bros. Pictures","52","3084.4"
"46","Feb 2004","20th Century Fox","44","2441.1"
"46","Feb 2004","Universal Pictures","46","3491.3"
"46","Feb 2004","Walt Disney Pictures","7","460.9"
"46","Feb 2004","Paramount Pictures","50","2349.6"
"46","Feb 2004","Sony Pictures","9","699.4"
"46","Feb 2004","New Line Cinema","41","2677.1"
"46","Feb 2004","Columbia Pictures","38","2008.1"
"46","Feb 2004","Buena Vista","4","288.4"
"46","Feb 2004","Lionsgate Films","0","0"
"47","Mar 2004","Warner Bros. Pictures","56","3280.8"
"47","Mar 2004","20th Century Fox","44","2441.1"
"47","Mar 2004","Universal Pictures","47","3550.2"
"47","Mar 2004","Walt Disney Pictures","7","460.9"
"47","Mar 2004","Paramount Pictures","50","2349.6"
"47","Mar 2004","Sony Pictures","9","699.4"
"47","Mar 2004","New Line Cinema","41","2677.1"
"47","Mar 2004","Columbia Pictures","39","2055.9"
"47","Mar 2004","Buena Vista","4","288.4"
"47","Mar 2004","Lionsgate Films","0","0"
"48","Apr 2004","Warner Bros. Pictures","57","3283.6"
"48","Apr 2004","20th Century Fox","46","2533.3"
"48","Apr 2004","Universal Pictures","48","3558.2"
"48","Apr 2004","Walt Disney Pictures","8","510.8"
"48","Apr 2004","Paramount Pictures","52","2463.7"
"48","Apr 2004","Sony Pictures","11","814.4"
"48","Apr 2004","New Line Cinema","41","2677.1"
"48","Apr 2004","Columbia Pictures","39","2055.9"
"48","Apr 2004","Buena Vista","4","288.4"
"48","Apr 2004","Lionsgate Films","0","0"
"49","May 2004","Warner Bros. Pictures","58","3416.7"
"49","May 2004","20th Century Fox","47","2719.9"
"49","May 2004","Universal Pictures","48","3558.2"
"49","May 2004","Walt Disney Pictures","8","510.8"
"49","May 2004","Paramount Pictures","52","2463.7"
"49","May 2004","Sony Pictures","11","814.4"
"49","May 2004","New Line Cinema","41","2677.1"
"49","May 2004","Columbia Pictures","39","2055.9"
"49","May 2004","Buena Vista","4","288.4"
"49","May 2004","Lionsgate Films","0","0"
"50","Jun 2004","Warner Bros. Pictures","59","3666.1"
"50","Jun 2004","20th Century Fox","49","2909.4"
"50","Jun 2004","Universal Pictures","49","3615.0"
"50","Jun 2004","Walt Disney Pictures","8","510.8"
"50","Jun 2004","Paramount Pictures","53","2523.0"
"50","Jun 2004","Sony Pictures","12","1187.8"
"50","Jun 2004","New Line Cinema","41","2677.1"
"50","Jun 2004","Columbia Pictures","40","2125.0"
"50","Jun 2004","Buena Vista","4","288.4"
"50","Jun 2004","Lionsgate Films","0","0"
"51","Jul 2004","Warner Bros. Pictures","61","3757.7"
"51","Jul 2004","20th Century Fox","49","2909.4"
