Title,Year,Rating,Runtime,Genre,Critic.Score,Box.Office,Awards,International
The Score,2001,R,124,"Action, Crime, Romance",73,70.3,TRUE,TRUE
Jurassic Park III,2001,PG-13,92,"Action, Adventure, Sci-Fi",50,180.1,TRUE,FALSE
America's Sweethearts,2001,PG-13,102,"Comedy, Romance",31,93,TRUE,FALSE
Planet of the Apes,2001,PG-13,119,"Action, Adventure, Sci-Fi",45,178.1,TRUE,FALSE
The Princess Diaries,2001,G,115,"Comedy, Family, Romance",47,107.8,TRUE,FALSE
Original Sin,2001,R,116,"Drama, Mystery, Romance",12,15.1,FALSE,TRUE
Rush Hour 2,2001,PG-13,90,"Action, Comedy, Crime",52,226,TRUE,TRUE
The Others,2001,PG-13,104,"Horror, Mystery, Thriller",83,96.1,TRUE,TRUE
American Pie 2,2001,R,108,"Comedy, Romance",52,144,TRUE,FALSE
Osmosis Jones,2001,PG,95,"Animation, Action, Adventure",55,12.3,TRUE,FALSE
Captain Corelli's Mandolin,2001,R,131,"Drama, Music, Romance",29,25.3,FALSE,TRUE
Rat Race,2001,PG-13,112,"Adventure, Comedy",44,55.8,FALSE,TRUE
American Outlaws,2001,PG-13,94,"Action, Western",14,11.9,FALSE,FALSE
The Believer,2001,R,102,Drama,82,0.2,TRUE,FALSE
The Curse of the Jade Scorpion,2001,PG-13,103,"Comedy, Crime, Mystery",45,6.8,TRUE,TRUE
Bubble Boy,2001,PG-13,84,"Adventure, Biography, Comedy",29,4.2,FALSE,FALSE
Ghosts of Mars,2001,R,98,"Action, Horror, Sci-Fi",21,7.3,FALSE,FALSE
Summer Catch,2001,PG-13,108,"Comedy, Drama, Romance",8,19,FALSE,FALSE
Jay and Silent Bob Strike Back,2001,R,104,Comedy,53,29.9,FALSE,FALSE
Hedwig and the Angry Inch,2001,R,95,"Comedy, Drama, Music",92,1.5,TRUE,FALSE
Jeepers Creepers,2001,R,90,Horror,45,37.5,TRUE,TRUE
Tortilla Soup,2001,PG-13,102,"Comedy, Romance, Drama",74,2.9,TRUE,FALSE
Made,2001,R,95,"Comedy, Crime, Drama",71,3.7,FALSE,FALSE
The Deep End,2001,R,101,"Crime, Drama, Mystery",82,8.3,TRUE,FALSE
O,2001,R,95,"Drama, Romance, Thriller",64,15.5,TRUE,FALSE
Soul Survivors,2001,PG-13,84,"Drama, Horror, Mystery",4,2,FALSE,FALSE
The Musketeer,2001,PG-13,104,"Action, Adventure, Romance",11,26.6,FALSE,TRUE
Two Can Play That Game,2001,R,90,"Comedy, Romance",43,22,FALSE,FALSE
The Glass House,2001,PG-13,106,Thriller,21,17.4,FALSE,FALSE
Megiddo: The Omega Code 2,2001,PG-13,104,"Action, Adventure, Fantasy",10,5.6,FALSE,FALSE
Glitter,2001,PG-13,104,"Drama, Music, Romance",7,3.9,TRUE,FALSE
Ghost World,2001,R,111,"Comedy, Drama",92,4.7,TRUE,TRUE
Hearts in Atlantis,2001,PG-13,101,"Drama, Mystery",50,23.6,TRUE,TRUE
Extremedays,2001,PG,93,"Action, Adventure, Comedy",43,0.5,FALSE,FALSE
Don't Say a Word,2001,R,113,"Crime, Drama, Mystery",24,54.2,FALSE,TRUE
Zoolander,2001,PG-13,89,Comedy,64,44.7,TRUE,TRUE
Big Bad Love,2001,R,111,"Comedy, Drama, Romance",41,0.1,FALSE,FALSE
Max Keeble's Big Move,2001,PG,86,"Comedy, Crime, Family",29,16.5,TRUE,FALSE
Joy Ride,2001,R,97,"Mystery, Thriller",73,21.3,FALSE,FALSE
Serendipity,2001,PG-13,90,"Comedy, Romance",59,50,FALSE,FALSE
Training Day,2001,R,122,"Crime, Drama, Thriller",72,76.1,TRUE,TRUE
Bandits,2001,PG-13,123,"Comedy, Crime, Drama",65,41.2,TRUE,FALSE
Corky Romano,2001,PG-13,86,"Comedy, Crime",6,23,FALSE,FALSE
The Last Castle,2001,R,131,"Action, Drama, Thriller",52,17.9,TRUE,FALSE
Mulholland Drive,2001,R,147,"Drama, Mystery, Thriller",81,7.1,TRUE,TRUE
Riding in Cars with Boys,2001,PG-13,132,"Biography, Comedy, Drama",49,29.6,TRUE,FALSE
From Hell,2001,R,122,"Horror, Mystery, Thriller",57,30.7,FALSE,FALSE
Bones,2001,R,96,"Crime, Horror",21,6.8,FALSE,FALSE
Thir13en Ghosts,2001,R,91,"Horror, Mystery, Thriller",14,41.6,FALSE,TRUE
K-PAX,2001,PG-13,120,"Drama, Sci-Fi",41,50,FALSE,TRUE
Domestic Disturbance,2001,PG-13,89,"Crime, Mystery, Thriller",24,44.4,TRUE,FALSE
"Monsters, Inc.",2001,G,92,"Animation, Adventure, Comedy",96,34,TRUE,FALSE
The One,2001,PG-13,87,"Action, Sci-Fi, Thriller",14,43.9,FALSE,FALSE
Storytelling,2001,R,87,"Comedy, Drama, Romance",53,0.9,FALSE,FALSE
Heist,2001,R,109,"Action, Crime, Drama",65,23.3,FALSE,TRUE
Life as a House,2001,R,125,Drama,47,15.4,TRUE,FALSE
Shallow Hal,2001,PG-13,114,"Comedy, Drama, Fantasy",51,70.7,FALSE,TRUE
The Wash,2001,R,93,Comedy,8,9.8,FALSE,FALSE
Harry Potter and the Sorcerer's Stone,2001,PG,152,"Adventure, Family, Fantasy",80,317.6,TRUE,TRUE
The Man Who Wasn't There,2001,R,116,"Crime, Drama",81,7.4,TRUE,TRUE
Waking Life,2001,R,99,"Animation, Drama, Fantasy",80,2.1,TRUE,FALSE
Spy Game,2001,R,126,"Action, Crime, Thriller",66,62.3,FALSE,TRUE
Black Knight,2001,PG-13,95,"Adventure, Comedy, Fantasy",14,33.3,FALSE,FALSE
Out Cold,2001,PG-13,89,"Comedy, Sport",8,13.9,FALSE,FALSE
Sidewalks of New York,2001,R,108,"Comedy, Romance",57,2.1,FALSE,FALSE
Behind Enemy Lines,2001,PG-13,106,"Action, War, Drama",37,58.8,TRUE,FALSE
Ocean's Eleven,2001,PG-13,116,"Crime, Thriller",82,183.3,TRUE,FALSE
Vanilla Sky,2001,R,136,"Fantasy, Mystery, Romance",41,100.5,TRUE,TRUE
Novocaine,2001,R,95,"Comedy, Crime, Drama",38,1.5,FALSE,FALSE
Not Another Teen Movie,2001,R,89,Comedy,28,37.9,FALSE,FALSE
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Adventure, Fantasy",91,313.8,TRUE,TRUE
Jimmy Neutron: Boy Genius,2001,G,82,"Animation, Action, Adventure",75,80.9,FALSE,FALSE
The Majestic,2001,PG,152,Drama,42,27.7,TRUE,TRUE
How High,2001,R,93,Comedy,27,31.2,FALSE,FALSE
The Business of Strangers,2001,R,84,"Drama, Thriller",80,0.5,TRUE,FALSE
Who Is Cletis Tout?,2001,R,92,"Comedy, Crime",23,0.0649,FALSE,TRUE
Ali,2001,R,157,"Biography, Drama, Sport",67,58.2,TRUE,FALSE
Kate & Leopold,2001,PG-13,118,"Comedy, Fantasy, Romance",50,47.1,TRUE,FALSE
A Beautiful Mind,2001,PG-13,135,"Biography, Drama",75,170.7,TRUE,FALSE
Impostor,2001,R,95,"Drama, Sci-Fi, Thriller",22,5.3,FALSE,FALSE
The Royal Tenenbaums,2001,R,110,"Comedy, Drama",80,52.3,TRUE,FALSE
American Adobo,2001,R,104,"Comedy, Romance",30,0.2,TRUE,TRUE
